CityCode,ClinicCenterCode,Category,DoctorCount,Latitude,Longitude,ClinicName,CityName,ClinicNumber,ClinicCenterAddress
10,AH01,Allopathy,4,23.03560077,72.56946002,NA,Ahmedabad,079-26577393,"1st Floor, S.R.House, Opp. Mount Carmel School, Ashram Road, Ahmedabad-380009"
10,AH02,Allopathy,2,23.012685,"72.523626
                                        ",NA,Ahmedabad,079-25693262,"Room no.1,2 and 3 (Ground floor), Aayakar Bhawan, 100 Feet Anand nagar Road, Vejalpur, Ahmedabad-380015"
10,AH04,Allopathy,4,23.067056,"72.555033
                                        ",NA,Ahmedabad,079-27478393,"Govt Qtr No. M/49/289-290, Near sindur party plot, Pragatinagar road, Pragatinagar Ahmedabad -380013"
10,AH06,Allopathy,0,23.03560077,72.56946002,NA,Ahmedabad,079-26577393,"3rd  Floor, S.R.House, Opp. Mount Carmel School, Ashram Road, Ahmedabad- 380009"
10,AH09,Allopathy,3,22.998966,72.601363,NA,Ahmedabad,079-25467055,"2nd Floor, Business Square, Opp. Punjab National Bank"
10,VDA,Allopathy,2,22.302678,"73.224506
                                        ",NA,Ahmedabad,0265-2415555,"Panigate Telephone exchange Compound, Ground floor, Nr. Water Tank, Ajwa Road, Panigate, Vadodara-390019"
11,AL02,Allopathy,1,25.46676645,81.82670927,NA,Prayagraj,0532-2624435,"4/6, Drummond, Allahabad"
11,AL07,Allopathy,1,25.39966906,81.86945473,NA,Prayagraj,0532-2697132,"236/101-C /1 Chok Daud Nagar Near Swadeshi Cotton Mills, Naini, Allahabad"
11,ALH1,Homeopathy,1,25.44975366,81.83101744,NA,Prayagraj,0532-2561310,"2nd Floor, Sangam Place, Civil Lines, Prayagraj-211001"
12,BA04,Allopathy,3,13.02605547,77.62687938,NA,Bengaluru,080 25430759,"No. 669, HBR Main Road 1st stage, 2nd Block, HBR Layout, Bangalore 560023"
12,BA06,Allopathy,4,12.94532594,77.5782434,NA,Bengaluru,080 26570202,"No. 190, R. V. Road, 2nd Block, Jayanagar, Bangalore-5600011"
12,BA10,Allopathy,4,12.99048902,77.66185566,NA,Bengaluru,080 25243236,"DRDO Complex, C.V. Raman Nagar, Bangalore-560093"
12,BA13,Ayurveda,2,12.96364181,77.63971102,NA,Bengaluru,080 25355662,"First Floor, Community Center GPRA Quarters Domlur 560071"
13,BP1,Allopathy,2,23.24226523,77.42385078,NA,Bhopal,0755 - 2765071,"First floor, CGHS Bhawan, Plot No. 23, Arera Hills, Near Meteorological Department, 
 Bhopal (M.P) - 462027"
14,BH1,Allopathy,5,20.28357518,85.83014607,NA,Bhubaneswar,"0674-2393612
0674-2393312
","O/o The MO I/c, WC-1, CGHS,  Unit IV, Old AG Colony, Bhubaneswar -751001, Odisha"
15,CPK1,Allopathy,2,30.69436858,76.83789529,NA,Chandigarh,"0172-2990711
9417149057","CGHS WC-1, BSNL telephone Exchange Building, Sec- 16, Panchkula- 134109"
16,CH04,Allopathy,1,13.05129325,80.26475556,NA,Chennai,044-23458404,"No 1, 1st Street, Gopalapuram, Chennai"
16,CH05,Allopathy,3,13.01055092,80.22192017,NA,Chennai,044-23458405,Block No 6/1-5 Bcg Staff Quarters Guindy 
16,CH09,Allopathy,1,13.0659918,80.24749067,NA,Chennai,044-23458409,C&B Block 1st Floor Shastri Bhavan Haddows Rd
16,CH18,Siddha,1,13.08914158,80.20448887,NA,Chennai,044-23458402,Central Revenue Qtr No 15 Ranganathan Garden Anna Nagar
16,CH20,Siddha,1,13.03690924,80.20790932,NA,Chennai,044-23458406,CPWD Quarters Kk Nagar Chennai 600078
18,AY63,Ayurveda,3,28.55537724,77.2271222,NA,DELHI/HQ/DIRECTORATE/MINISTRY,011-26263767,"HS Wellness Centre, Sadiq Nagar Sec-3 (Near G.K.I)"
18,AY65,Ayurveda,2,28.52322179,77.21947297,NA,DELHI/HQ/DIRECTORATE/MINISTRY,011-29564988,"CGHS Wellness Centre Building, Sector  1, M.B. Road"
18,D1,Allopathy,5,28.63427673,77.20299517,NA,DELHI/HQ/DIRECTORATE/MINISTRY,23743810  21400889,"CGHS Building, DIZ Area-II, Gole Market"
18,D102,Allopathy,5,28.61724724,77.2997179,NA,DELHI/HQ/DIRECTORATE/MINISTRY,"011-21200691
011-21200692","Ground floor Commnity Hall, EDMC Community Center , Pocket-F, Ward No. 219, Mayur Vihar-II"
18,D104,Allopathy,4,28.41431809,77.32235574,NA,DELHI/HQ/DIRECTORATE/MINISTRY,0129-2987500,"Zila Sainik Board, Old Army Canteen, Sector-16"
18,D106,Allopathy,3,28.65488438,77.40947044,NA,DELHI/HQ/DIRECTORATE/MINISTRY,0120- 4962215,"G79, Sector-11, Pratap Vihar"
18,D32,Allopathy,7,28.60997983,77.19872336,NA,DELHI/HQ/DIRECTORATE/MINISTRY,"23013490   , 21410364","153, South Avenue"
18,D37,Allopathy,6,28.56439684,77.25624697,NA,DELHI/HQ/DIRECTORATE/MINISTRY,26910251,"CGHS  Disp. Building, Srinivaspuri"
18,D52,Allopathy,6,28.57174965,77.16701221,NA,DELHI/HQ/DIRECTORATE/MINISTRY,26173988,"CGHS Disp. Building, Sector -VIII, R.K. Puram."
18,D53,Allopathy,5,28.64563875,77.11230518,NA,DELHI/HQ/DIRECTORATE/MINISTRY,25171213,"BA Block, NEAR TAGORE BUS STAND/METRO STATION, TATTARPUR DELHI"
18,D68,Allopathy,5,28.67200328,77.48996746,NA,DELHI/HQ/DIRECTORATE/MINISTRY,0120-2986968,"CGHS Building, Kamla Nehru Nagar"
18,D75,Allopathy,5,28.53133368,77.25181664,NA,DELHI/HQ/DIRECTORATE/MINISTRY,26028746,"CGHS Wellness Centre, Community Centre, Plot No : 5 & 6, Alaknanda (Near Muthoot Finance Building)"
18,D81,Allopathy,5,28.69256202,77.11517203,NA,DELHI/HQ/DIRECTORATE/MINISTRY,27011222,"House No. 1 CGHS Building Parwana Road , Saraswati Vihar, Pitampura (Near Ashutosh Maharaj Ashram)"
18,D87,Allopathy,6,28.68106772,77.3139629,NA,DELHI/HQ/DIRECTORATE/MINISTRY,011-22596489,"Pocket-B, Near Sarvodaya Vidyalaya, Dilshad Garden"
18,D88,Allopathy,3,28.70814852,77.15395378,NA,DELHI/HQ/DIRECTORATE/MINISTRY,27486048,"BP Block, Shalimar Bagh ,(Near Maharishi Ayurvedic Hospital)"
18,D90,Allopathy,4,28.54139566,77.29882531,NA,DELHI/HQ/DIRECTORATE/MINISTRY,26940651,"Plot No 11, Sarita Vihar, Institutional Area, Near Telephone Exchange"
18,D92,Allopathy,8,28.42726603,77.11023171,NA,DELHI/HQ/DIRECTORATE/MINISTRY,0124-2578235,"Opposite HUDA Market, Sector-55"
18,D94,Allopathy,5,28.68561302,77.3525868,NA,DELHI/HQ/DIRECTORATE/MINISTRY,0120-2630066,"6/16, Sector 2, New Rajender Nagar, Sahibabad"
18,FAPNB,Allopathy,3,28.6110225,77.2153972,NA,DELHI/HQ/DIRECTORATE/MINISTRY,23063848,"First Aid Post, Nirman Bhawan, Maulana Azad Road"
18,FAPVBP,Allopathy,2,28.62102599,77.21324381,NA,DELHI/HQ/DIRECTORATE/MINISTRY,"23736264 ,23716399, 21400884",Vithal Bhai Patel House
18,HO68,Homeopathy,2,28.67288634,77.49579373,NA,DELHI/HQ/DIRECTORATE/MINISTRY,0120-2986968,"CGHS Building, second floor, Kamla Nehru Nagar"
18,HO69,Homeopathy,3,28.55467727,77.17924625,NA,DELHI/HQ/DIRECTORATE/MINISTRY,011-26173911,"CGHS, Qr No. 739 R. K. Puram Sect. 3 "
18,HO76,Homeopathy,3,28.63073905,77.19993098,NA,DELHI/HQ/DIRECTORATE/MINISTRY,23364574,"CGHS building, Kalibari Marg"
18,,Allopathy,1,,,NA,DELHI/HQ/DIRECTORATE/MINISTRY,9312901213,
19,AZ1,Allopathy,1,23.72126669,92.71342577,NA,Guwahati,"0389 - 2334764
","Qtr. No. AIS(1)/C-SD/5 (Double Suit) , AIS Transit Residential Complex, New Secretariat Building, Khatla, Aizawl-796001
"
19,GK1,Allopathy,1,27.34531205,88.60688479,NA,Guwahati,"0359-2284041
","1st Floor, Kludong Khim, H/o Mr T.T. Lachungpa, Opp. DAC(East), Upper Schey, Doctor B.R. Ambedkar Road East Sikkim-737101"
19,GK2H,Homeopathy,1,27.34531205,88.60688479,NA,Guwahati,"0359-2284041
","1st Floor, Kludong Khim, H/o Mr T.T. Lachungpa, Opp. DAC(East), Upper Schey, Doctor B.R. Ambedkar Road East Sikkim-737101"
19,GT4,Allopathy,2,26.18605524,91.74560723,NA,Guwahati,"0361-2540551
","CGHS WC No.4, In front of Don Bosco School, In front of Don Bosco School, Panbazar, Guwahati-781001"
19,SCH1,Allopathy,1,24.83236164,92.79808551,NA,Guwahati,0384 2291610,"Quarter No.D2 & D3 (Behind POPSK), Cachar Postal Divisional Premises, 
Silchar(O/o the Superintendent of Post Offices Premises, Cachar Division), Silchar- 788001"
20,HY12,Allopathy,6,17.36390912,78.58507219,NA,Hyderabad,040-29885333,Type IV D 17 to D 20 GPRA GSUI Campus Bandlaguda Hyderabad 500068
20,HY13,Allopathy,6,17.40226959,78.5580938,NA,Hyderabad,040-27209223,"User Interaction Window Complex (UIWC) Survey of India Campus, Beside
Union Bank of India, Uppal, Hyderabad 500039"
20,HY15,Allopathy,4,17.40722787,78.46693192,NA,Hyderabad,040-29560561,"AG'S Office Compound, Saifabad, Hyderabad -500004"
20,HYV2,Allopathy,3,17.71951305,83.30270617,NA,Hyderabad,0891-2546366,"MO I/C, CGHS W.C., Visakhapatnam, Upstairs Dabagardens Post Office,Dabagardens Sub-PO, Visakhapatnam-530020."
20,NEL1,Allopathy,2,14.4421135,79.96951371,NA,Hyderabad,0861-2326685,"CGHS WELLNESS CENTER, E1Ground floor type V BSNL staff quarters 
Batwadipalem,  beside new district police office, 
Dargamitta 
Nellore Andhra Pradesh 524003"
20,VAY1,Ayurveda,1,17.72875996,83.33459217,NA,Hyderabad,0891-2556673,"Door No. 8-5-1, Govt.Mental Care Hospital premises Chinawaltair,Visakhapatnam -530017, Andhra Pradesh"
21,JBH1,Homeopathy,1,23.16180618,79.95530791,NA,Jabalpur,0761-2629460,"Head Post Office Compound, Jabalpur-482001, Madhya Pradesh"
22,JA6,Allopathy,5,26.84616938,75.82226044,NA,Jaipur,0141-2755732,"G.S.I. Colony, Malviya Nagar, Jaipur"
23,KN2,Allopathy,2,26.47097667,80.31962773,NA,Kanpur,0512-2542379,"110/58, R.K. Nagar, Kanpur-208012"
23,KN6,Allopathy,5,26.42183539,80.36156231,NA,Kanpur,0512-2978033," 430, C Block, Shyam Nagar , Kanpur"
23,KN7,Allopathy,4,26.47991139,80.29876477,NA,Kanpur,0512-2220455,"TYPE-1-8 Quarters RLI Campus Sarvoday Nagar, Kanpur 208005"
24,KO16,Allopathy,3,22.59222402,88.4053375,NA,Kolkata,23344849,"Qtrs No. 81 & 82, Type C, Kolkata 700064"
24,KO2,Allopathy,2,22.5144741,88.35807744,NA,Kolkata,033-24661733,"Lake Govt. Qrts. Fl No.55 and 56 Southern Ave., Kolkata -7000029
 (Near Kamala Girl's School/ Vivekananda Park)"
24,KO22,Unani,1,22.57129559,88.41659896,NA,Kolkata,23352801,"IC Block, CGHS Complex Salt Lake, Kolkata -700106 (Near Tank No.14)"
25,LK4,Allopathy,3,26.84366838,80.885169,NA,Lucknow,0522-2419756,"C- 3335, Meena Bakery Road Rajajipuram, Lucknow 226017"
26,MBD1,Allopathy,2,28.84215468,78.7705619,NA,Meerut,0591-2412020,"CGHS Wellness Center, Head Post Office, near Moradabad Jail, Moradabad - 244001"
26,MR3,Allopathy,2,28.99582745,77.711822,NA,Meerut,0121-2640074,"154, Western Kutchery Road, Vijay Nagar, Meerut"
26,MR4,Allopathy,4,29.02993045,77.68401719,NA,Meerut,0121-2556394,"Shradhapuri, Kanker Khera, Meerut Cantt."
26,MR5,Allopathy,4,28.9746435,77.7208726,NA,Meerut,0121-2763159,"Swasthya Bhawan, S.K. Road, Meerut"
27,MU1,Allopathy,8,18.93986693,72.8277536,NA,Mumbai,022-22018799,Old CGO Building
27,MU12,Allopathy,7,19.21437948,73.18581245,NA,Mumbai,0251-2600858,"Old primary School, Ordinance  Estate, Ambarnath,  Thane 421502"
27,MU2,Allopathy,2,18.97321857,72.81009618,NA,Mumbai,022-23516680,"Income Tax Flats, No. D-1  Pedder Road, Mumbai - 400 026"
27,MU23,Allopathy,2,18.99466613,72.84380735,NA,Mumbai,022-24187276,"Govt. Mint Colony, Bldg No.20 Flat No. 41-43, Saibaba Marg, Mint Staff Qtrs, Parel, Mumbai-400012
"
